text,sentiment,hashtag,curseword,cursewordCatg
social media gives people the freedom to say what ever the hell they want even if it’s bullshit    ,0,love,hell,2
"sometimes the worst enemy is your own memory let that shit go

positive            ",0,motivation,shit,7
somewhere theres a score being kept so you have an obligation to live life as well as you can be as engaged as you can the human condition means that we can zone out and forget what the hell were doing  bill murray  USERID       ,0,motivation,hell,2
"stop watching porn

you know it’s shit for you but you continue regardless

andrewtate        ",0,motivation,shit,7
"stuhrling original mens stainless steel automatic self wind dive watch 200m water resistant unidirectional ratcheting bezel screw down crown sport watch 792 series URL

        URL ",0,love,screw,1
"stuhrling original mens watch analog watch dial pro sport diver with screw down crown and water resistant to 200m japanese quartz movement  maritimer watches for men collection URL

       URL ",0,love,screw,1
success is having to worry about every damn thing in the world  USERID except    URL ,0,motivation,damn,2
superhuman effort isnt worth a damn unless it achieves    URL ,0,motivation,damn,2
surround me with the “hell yes i’ll try that crowd” any day  USERID    URL ,0,motivation,hell,2
sustaining a successful business is a hell of a lot of work and staying hungry is half the battle  USERID –wendy tan white     ,0,motivation,hell,2
technology… is a queer thing it brings you great gifts with one hand and it stabs you in the back with the other  carrie snow   ,0,motivation,queer,1
"thanks for your time i hope this motivates someone or improves someone’s lifestyle
fuck your worthless shitty depressive episodes and meaningless stress
be true to yourself  work on yourself and most importantly enjoy every single minute of your life    ",0,motivation,fuck,7
"the mind is its own place and in itself can make a heavn of hell a hell of heavn
 paradise lost




photooftheday    USERID           URL ",0,motivation,hell,2
"the more i learn to  myself the less crap i tolerate from a potential partner
i dont want you to love me like i deserve to be loved ive got that covered 
respect support and a good character is all you are required to bring to the table
bonus if you are not hungry ",0,love,crap,3
there is no greater thing you can do with your life and your work than follow your passions in a way that serves the world and you richard branson  USERID    URL ,0,motivation,screw,1
"there is only one thing that i really want

no matter what youre dong in life you can impact someone in a positive way do that at every opportunity

tag or share this with someone that needs to see it

socialnetworking      URL ",0,motivation,dong,1
"there will never be a perfect time to start that new thing thats calling you from within 

just start dont be a statistic who lives with regret thats a definiton of hell itself 

  🤜 🤛 

inspiration       ",0,motivation,hell,2
theres a saying if you want someone to love you forever buy a dog feed it and keep it around  dick daleweimaraner  ,0,love,dick,1
"there’s absolutely nothing wrong with loving the crap out of everything 

love       train    URL ",0,love,crap,3
"they say that true hell is when the person you are meets the person you could have been do you agree

make that change

happynewyear2023   ",0,motivation,hell,2
this morning and i done stuck 30 people by my damn self no assistance and no missed draws 🥰🤩         URL ,0,love,damn,2
this sht is gettin ugly…‍    recycling             URL ,0,motivation,sh*t,7
this sht never gets old  USERID         USERID  USERID    ,0,motivation,sh*t,7
timing yourself definitely helps getting shit done   USERID     ,0,motivation,shit,7
"tip stop overthinking and just start doing whatever it is youre putting off damn it 

just fing start 

and scene micdrop 

hindsight            URL ",0,motivation,damn,2
to a dark web 5g admin dick in a box is fucken makeout point    ,0,motivation,dick,1
"to hell with circumstances i create opportunities

inspiration   URL ",0,motivation,hell,2
to people in the fartbox a group of  USERID minions is took a shit and a meaningful images only    ,0,motivation,shit,7
to the coincelpro discord a dick in a box is took a shit and a good little post    ,0,motivation,dick,1
"today a farewell program was organized in block office jslps tarhasi regarding the transfer of administrative assistant cum computer operatoradmin mukesh kumar ji in which ccs deo and ob were present also inspirational thoughts were given by bpm sir
work  URL ",0,motivation,cum,1
today for some reason i’ve just got the urge and motivation to actually try to declutter where the hell has this come from 🤔   ,0,motivation,hell,2
"today is a new beginning for everyone its how you choose to start it
so dont fk it up 
its ok to stumble just dont stay down always get back up 
have no fear you can do this
2ndchance 
freshstart youmatter 
getbackup   USERID    ",0,love,f**k,7
today’s vibes  drinking in a little makeithappen keep kicking ass and taking names     URL ,0,motivation,ass,3
tomorrow will be a damn good day  ,0,excited,damn,2
"trap staat op instorten but damnurbex        eng viral       
follow on    USERID URL ",0,fun,damn,2
"trump now nominated for speaker  USERID what a sht show
    ‍resistance    ",0,motivation,sh*t,7
"uncle jock dog chew toys lady and the tramp shirt     s           
buy it here URL
more of this URL
from URL URL ",0,love,tramp,1
update he texted on ig and wp  and i left him on readbye bitch forever  USERID     URL ,0,fun,bitch,1
"ur a cunt 

 safe 

twitter    s       URL ",0,love,cunt,1
"warmongers belong to hell
not 2 our civilized world
russia go home  
we pray for ukraine ureign
and in the whole world 
 be vegan make peace  USERID do good deeds
suprememastertv    
 war   URL ",0,love,hell,2
watch once they see y’all together‍‍‍ all hell will break loose…oh well 🤭   on youtube URL ,0,love,hell,2
watched wakanda forever last night and damn i can’t wait to be able to do arms again  ,0,motivation,damn,2
"well be on the road until next week be good in the meantime be creative and most importantly you dont owe anything to anyone go your own way have fun and fuck the rest
message      ",0,motivation,fuck,7
"what did i learn stop whining and feeling sorry for yourself

i got fucked over by family  friends

but i spent far too long blaming them get up and dust yourself off and do something

share your story  go

2023newyear   ",0,motivation,fucked up,6
when you are stressed out as fuck as i be some times i suggest u order your favorite takeout turn on your stereo and put on a  USERID horror movie sometimes its just what the doctors order for these depressing and fuck up days i love u all take care of yourself and each other  ,0,love,fuck,7
"when you realize the manuscript you’re working on would be a bomb ass prequel also
so now you get to write two books 
fack…
amwriting  URL ",0,excited,ass,3
"when you see someone doing better than you or winning you don’t fall into jealousy like a pussy

you use that as  to not be a loser

do you not want to win

i guess only you can prove that to yourself ",0,motivation,pussy,1
when youre full of love it confuses people who are full of sht    ,0,love,sh*t,7
when you’ve acclimated to the atmosphere of hell it can take a few breaths to adjust to fresh air     URL ,0,motivation,hell,2
"why ex pimp holds such high standards
cobra       URL ",0,motivation,pimp,1
"why the fuck

whateverittakes                 URL ",0,motivation,fuck,7
why will no man ever do something without a why just like that for the hell of it  michael cacoyannis   USERID s sandsayings      URL ,0,motivation,hell,2
"with goodly grace and comely personage
that was on earth not easie to compare
full of great love but cupids wanton snare
as hell she hated chast in worke and will
her necke and breasts were ever open bare
poetry   ",0,love,hell,2
would you agree with dick gregory on this    URL ,0,motivation,dick,1
yes homosexuals lesbians bisexuals are not going to heaven they are headed to hell unless they repent of that sin and accept christ as savior and lord there’s no such thing as a lgbt christian or lgbt pastor that’s not bible   ,0,love,hell,2
"yes jesus spoke about love and compassion but that doesn’t mean that he didn’t address hell hell is very real and it was  that jesus speak on this often

URL ",0,love,hell,2
yet again another journey home but had a great weekend with kids even with crap weather   greatbritain             USERID  URL ,0,love,crap,3
you are capable of achieving great things dont let fear or doubt hold you back believe in yourself and take action towards your goals you are strong resilient and you have what it takes to succeed if you’re going through hell keep going   ,0,motivation,hell,2
you are so perverted if youre thinking anything other than they talk too damn much  🤷‍         URL ,0,fun,damn,2
you can’t learn no new shit amp get better if you already think you know it all im still learning             URL ,0,motivation,shit,7
young victus its time hoe slowed reverb URL  USERID per                     ,0,love,hoe,1
"youre putting yourself through hell and you are trying to finish that hell when youre done you have the satisfaction 

makaveli motivation

wakeup     ",0,motivation,hell,2
you’d think that bounce back time would be less each time but damn that shit still hurts  ,0,love,damn,2
you’re reading this right then pause amp be grateful you’re alive today why cause godjesusallahwahe gurumother nature has given you another day to grow learn amp most importantly forgive amp love those who have hurt you let go of your damn ego     ,0,love,damn,2
"“if you’re going through hell keep going” – winston churchill 
inspiration   URL ",0,motivation,hell,2
“maybe we turn love into a fairytale just to cover up the fact that it’s so unsettling to admit that we don’t have something we want so deeply — and quite frankly that we are too ignorant to know what the hell to do about it”  USERID URL    ,0,love,hell,2
"“maybe we turn love into a fairytale just to cover up the fact that it’s unsettling to admit that we don’t have something we want so deeply — and quite frankly that we are too ignorant to know what the hell to do about it”  

life  
URL ",0,love,hell,2
"“stop being a pussy” are very loving words 

they inspire growth they inspire resistance

freetopgs     ",0,motivation,pussy,1
"“we have sickness and pain so i am indescribably grateful for this gift received”

shincheonji church of jesus shows love for their neighbour through a donation to gangseo 1dong administrative welfare center cheongju
URL

shincheonjichurch   URL ",0,love,dong,1
"“we have sickness and pain so i am indescribably grateful for this gift received”

shincheonji church of jesus shows love for their neighbour through a donation to gangseo 1dong administrative welfare center cheongju
URL
shincheonjichurch  URL ",0,love,dong,1
"“we need to accept that we won’t always make the right decisions that we’ll screw up royally sometimes―understanding that failure is not the opposite of success it’s part of success” ― arianna huffington

inspirational     URL ",0,motivation,screw,1
…tired of the same basic btchy sht on this dimension man…experiencing vibrational dissonance for sure…now i know what was meant in the bible when it said “can i find one”…i’m focusing on myself not trying to be judgemental  USERID someone gets me  USERID 🤷‍   ,0,love,sh*t,7
"🦒male giraffes drink the females urine what is yours

question                      URL ",0,love,urine,3
